review_id,transaction_id,rating,comment,created_at
1,1,5,Excellent phone! Fast delivery and exactly as described.,2025-03-02 09:30:45
2,2,4,Good quality jeans but slightly longer than expected.,2025-03-02 14:22:37
3,3,5,Love my new smart watch! All features work perfectly.,2025-03-03 10:15:19
4,4,3,Decent headphones but battery life is shorter than advertised.,2025-03-03 18:45:58
5,5,5,Great collection of recipes! Already tried several with success.,2025-03-04 12:20:31
6,6,4,Good quality yoga mat. A bit thinner than I expected but works well.,2025-03-04 16:37:42
7,7,5,Coffee maker works perfectly and was easy to set up.,2025-03-05 09:12:25
8,8,4,Nice gaming mouse with good responsiveness. Could use more buttons.,2025-03-05 19:30:18
9,9,5,Amazing sound quality for such a compact speaker!,2025-03-06 14:25:33
10,10,3,Plant stand is nice looking but not very stable on carpet.,2025-03-06 20:47:15